path	repository	artifact_type	authority_class	review_relevance	review_depth	disposition	related_findings	reason
.github/PULL_REQUEST_TEMPLATE.md	Aranwill/jarvis	documentation	informational	context	TARGETED_READ	TARGETED_READ		classified for exhaustive coverage; inspect if linked to material unit
.github/workflows/validation.yml	Aranwill/jarvis	workflow	operational_verification	construction_evidence	FULL_READ	FULL_READ		candidate-bound CI and validation pipeline evidence
.gitignore	Aranwill/jarvis	repository_config	configuration	repository_baseline	STRUCTURAL_INSPECTION	STRUCTURAL_INSPECTION		repository/tooling baseline
AGENTS.md	Aranwill/jarvis	governing_or_current_state	development_method	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
CHANGELOG.md	Aranwill/jarvis	root_project_doc	informational_or_derived	project_context	TARGETED_READ	TARGETED_READ		project-facing context; checked for drift against higher authority
PROJECT.md	Aranwill/jarvis	root_project_doc	informational_or_derived	project_context	TARGETED_READ	TARGETED_READ		project-facing context; checked for drift against higher authority
README.md	Aranwill/jarvis	root_project_doc	informational_or_derived	project_context	TARGETED_READ	TARGETED_READ		project-facing context; checked for drift against higher authority
ROADMAP.md	Aranwill/jarvis	root_project_doc	informational_or_derived	project_context	TARGETED_READ	TARGETED_READ		project-facing context; checked for drift against higher authority
SECURITY.md	Aranwill/jarvis	governing_or_current_state	protected_policy	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
configs/models.yaml	Aranwill/jarvis	config	configuration	material_configuration	STRUCTURAL_INSPECTION	STRUCTURAL_INSPECTION		current configuration surface
docs/architecture/adr/ADR-001-identity-migration-jarvis-to-malak.md	Aranwill/jarvis	adr	accepted_decision	design_authority_and_history	FULL_READ	FULL_READ		accepted architectural decision and historical design evidence
docs/architecture/adr/ADR-002-policy-enforcement-boundary.md	Aranwill/jarvis	adr	accepted_decision	design_authority_and_history	FULL_READ	FULL_READ		accepted architectural decision and historical design evidence
docs/architecture/adr/ADR-003-directional-communication-and-authority-flow.md	Aranwill/jarvis	adr	accepted_decision	design_authority_and_history	FULL_READ	FULL_READ		accepted architectural decision and historical design evidence
docs/architecture/adr/ADR-004-specification-and-verification-first.md	Aranwill/jarvis	adr	accepted_decision	design_authority_and_history	FULL_READ	FULL_READ		accepted architectural decision and historical design evidence
docs/architecture/adr/ADR-005-evidence-bound-final-response-transition.md	Aranwill/jarvis	adr	accepted_decision	design_authority_and_history	FULL_READ	FULL_READ		accepted architectural decision and historical design evidence
docs/architecture/adr/ADR-006-protected-durable-reliance-preconditions.md	Aranwill/jarvis	adr	accepted_decision	design_authority_and_history	FULL_READ	FULL_READ		accepted architectural decision and historical design evidence
docs/architecture/adr/ADR-TEMPLATE.md	Aranwill/jarvis	template	development_template	method_context	TARGETED_READ	TARGETED_READ		template only; not evidence of a specific implementation
docs/architecture/architecture_quality_gates.md	Aranwill/jarvis	governing_or_current_state	derived_current_state	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/architecture/blueprint.md	Aranwill/jarvis	governing_or_current_state	architecture_master	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/architecture/decisions/decision-index.md	Aranwill/jarvis	architecture_doc	architecture_or_spec	design_context	TARGETED_READ	TARGETED_READ		architecture/specification context
docs/architecture/documentation_architecture.md	Aranwill/jarvis	architecture_doc	architecture_or_spec	design_context	TARGETED_READ	TARGETED_READ		architecture/specification context
docs/architecture/kernel.md	Aranwill/jarvis	governing_or_current_state	approved_specification	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/architecture/knowledge_model.md	Aranwill/jarvis	architecture_doc	architecture_or_spec	design_context	TARGETED_READ	TARGETED_READ		architecture/specification context
docs/architecture/schemas/knowledge_schema.yaml	Aranwill/jarvis	architecture_doc	architecture_or_spec	design_context	TARGETED_READ	TARGETED_READ		architecture/specification context
